pig_id_unique,context,sample,institute,age_days,weight_start_kg,date,change_CORT,change_OXT,hr_min,weight_testsubjects,testpen_space_m2,play,escape,inactivity,ears_forward,ears_backward,CORT_change,OXT_change
1347,negative,post,WUR,44,12.51,14.12.2020,-0.047448627,0.343244991,12.33333333,12.51,0.72,-0.343304873,-0.489990509,-0.502039678,0.856740792,-0.904638637,-0.1092545,0.790350798
1347,positive,post,WUR,44,12.51,17.12.2020,-0.153323025,-0.228184984,10.05,41.6,11.25,1.736136669,-0.489990509,-0.502039678,0.656070097,-0.211491456,-0.353039311,-0.525415343
1368,negative,post,WUR,52,18.88,06.10.2020,0.56854337,-0.064013501,10.31666667,18.88,0.72,-0.343304873,-0.489990509,-0.502039678,0.856740792,-0.904638637,1.309119488,-0.147396533
1368,positive,post,WUR,52,18.88,08.10.2020,0.264952414,-0.174357745,11.5,65.55,11.25,1.448454596,-0.489990509,-0.502039678,0.068283432,0.193973652,0.610075479,-0.401473545
1390,negative,post,WUR,44,12.58,14.12.2020,-0.08284479,-0.086011021,7.566666667,12.58,0.72,-0.343304873,-0.489990509,-0.502039678,0.538287061,-0.904638637,-0.190757179,-0.198047696
1390,positive,post,WUR,44,12.58,17.12.2020,-0.235687585,-0.539347843,9.133333333,45.96,11.25,1.448454596,-0.489990509,-0.502039678,0.943752169,-0.904638637,-0.54269072,-1.241894305
1466,negative,post,WUR,51,13.16,05.10.2020,-0.216278251,-0.267441457,7.833333333,13.16,0.72,-0.343304873,-0.489990509,-0.502039678,0.761430612,-0.211491456,-0.497999077,-0.615806712
1466,positive,post,WUR,51,13.16,08.10.2020,0.018247614,-0.083977791,9.433333333,62.67,11.25,1.448454596,-0.489990509,-0.502039678,0.404755669,0.193973652,0.042016683,-0.193366009
1535,negative,post,WUR,45,10.48,15.12.2020,-0.20189857,-0.066987695,10.3,10.48,0.72,-0.343304873,-0.489990509,-0.502039678,0.943752169,-0.904638637,-0.464888637,-0.154244868
1535,positive,post,WUR,45,10.48,17.12.2020,-0.061398881,0.038095461,11.21666667,49.3,11.25,1.448454596,-0.489990509,0.191107502,0.538287061,0.481655724,-0.141376148,0.087718042
1661,negative,post,WUR,59,18.68,09.11.2020,0.112119619,-0.107100904,7.3,18.68,0.72,-0.343304873,-0.489990509,-0.502039678,0.761430612,-0.211491456,0.258164963,-0.246608945
1661,positive,post,WUR,59,18.68,12.11.2020,0.086719816,0.241231079,9.2,80.82,11.25,NA,NA,NA,NA,NA,0.199679756,0.555455085
1666,negative,post,WUR,44,11.19,14.12.2020,0.594720104,0.080928376,7.8,11.19,0.72,-0.343304873,-0.489990509,-0.502039678,0.943752169,-0.904638637,1.369393645,0.186344472
1666,positive,post,WUR,44,11.19,17.12.2020,NA,0.197084317,9.183333333,45.96,11.25,0.349842308,-0.489990509,-0.502039678,0.856740792,-0.904638637,NA,0.453803411
1774,negative,post,WUR,51,14.7,05.10.2020,0.235050924,-0.023865997,12.16666667,14.7,0.72,-0.343304873,-0.489990509,-0.502039678,0.538287061,0.193973652,0.541224753,-0.05495349
1774,positive,post,WUR,51,14.7,08.10.2020,0.065678776,0.373604235,9.866666667,63.44,11.25,NA,NA,NA,NA,NA,0.151230969,0.860255542
1788,negative,post,WUR,53,16.55,06.10.2020,0.225460181,0.086639035,15.21666667,16.55,0.72,-0.343304873,-0.489990509,0.59657261,0.856740792,-0.904638637,0.519141252,0.19949375
1788,positive,post,WUR,53,16.55,08.10.2020,-0.125937203,-0.117983386,11.55,55.26,11.25,1.26613304,-0.489990509,-0.502039678,0.538287061,0.193973652,-0.289981127,-0.271666786
1794,negative,post,WUR,60,23.29,10.11.2020,-0.165623177,-0.090064044,10.7,23.29,0.72,-0.343304873,0.608621779,0.191107502,0.068283432,0.193973652,-0.38136146,-0.207380126
1794,positive,post,WUR,60,23.29,12.11.2020,-0.241628176,-0.603953583,11.26666667,78.85,11.25,-0.343304873,-0.489990509,-0.502039678,0.856740792,-0.904638637,-0.556369438,-1.390654517
2123,negative,post,WUR,51,15.99,06.10.2020,0.40047845,-0.016752978,10.53333333,15.99,0.72,-0.343304873,0.896303852,0.884254683,0.404755669,0.481655724,0.92213571,-0.038575158
2123,positive,post,WUR,51,15.99,08.10.2020,0.126715903,-0.101479967,11.01666667,65.55,11.25,1.448454596,-0.489990509,-0.502039678,0.250604989,0.481655724,0.291774149,-0.23366626
2129,negative,post,WUR,51,18.1,05.10.2020,0.100097941,-0.116228892,12.4,18.1,0.72,-0.343304873,0.203156671,0.59657261,0.761430612,-0.904638637,0.230484027,-0.267626914
2129,positive,post,WUR,51,18.1,08.10.2020,-0.251342211,0.223337935,9.883333333,63.44,11.25,NA,NA,NA,NA,NA,-0.57873683,0.5142546
2140,negative,post,WUR,45,7.09,14.12.2020,0.071225901,-0.042060979,12.56666667,7.09,0.72,-0.343304873,0.608621779,0.191107502,0.656070097,-0.904638637,0.164003699,-0.096848983
2140,positive,post,WUR,45,7.09,17.12.2020,-0.116082228,-0.232164459,10,41.6,11.25,0.349842308,-0.489990509,-0.502039678,0.656070097,-0.211491456,-0.267289209,-0.534578423
2327,negative,post,WUR,51,13.28,06.10.2020,0.556568092,0.070060977,10.76666667,13.28,0.72,-0.343304873,1.589451032,-0.502039678,0.404755669,-0.211491456,1.281545391,0.16132136
2327,positive,post,WUR,51,13.28,08.10.2020,NA,NA,11.1,65.55,11.25,1.736136669,-0.489990509,-0.502039678,0.538287061,0.481655724,NA,NA
2555,negative,post,WUR,52,18.82,06.10.2020,-0.187415165,0.153834627,15.46666667,18.82,0.72,-0.343304873,0.608621779,-0.502039678,0.068283432,0.481655724,-0.431539364,0.35421732
2555,positive,post,WUR,52,18.82,08.10.2020,-0.00815835,-0.044904743,11.6,55.26,11.25,1.26613304,-0.489990509,-0.502039678,-0.154860119,-0.211491456,-0.018785295,-0.103396993
2613,negative,post,WUR,44,13.48,15.12.2020,0.070428418,0.142440833,10.53333333,13.48,0.72,-0.343304873,0.608621779,-0.502039678,0.068283432,0.193973652,0.162167425,0.327982139
2613,positive,post,WUR,44,13.48,17.12.2020,-0.067087964,0.059825077,11.16666667,49.3,11.25,1.448454596,-0.489990509,0.191107502,0.068283432,0.481655724,-0.154475746,0.13775233
2652,negative,post,WUR,45,11.28,15.12.2020,0.11246928,0.099905125,15.15,11.28,0.72,-0.343304873,-0.489990509,-0.502039678,0.761430612,-0.904638637,0.258970089,0.230040052
2652,positive,post,WUR,45,11.28,17.12.2020,NA,0.242546795,12,44.86,11.25,1.042989488,-0.489990509,0.191107502,0.656070097,0.193973652,NA,0.558484634
