institute,pig_group_unique,pig_id_unique,unique_paired,date,time,location,pen_space_m2,sample,context,context2,type,violation_expectations,age_days,weight_start_kg,group_weight_kg,oxyt_pgmL,cort_ngmL,eye_IRT_max,posture_at_sampling,tail_IRT_max,tail_IRT_min,tail_IRT_average,ear_IRT_max,ear_IRT_min,ear_IRT_average,snout_IRT_max,snout_IRT_min,snout_IRT_average
AU,AU_7,729,45,03.12.2021,10:25,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,68.9,310,59.673,4.785,36.55,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,883,52,02.12.2021,10:09,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,79.8,310,103.999,13.323,36.2,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,883,52,02.12.2021,10:39,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,79.8,310,177.959,33.686,37.2,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,883,51,03.12.2021,09:55,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,79.8,310,173.178,7.912,36.5,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_7,883,51,03.12.2021,10:25,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,79.8,310,107.595,5.792,36.8,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,683,38,02.12.2021,10:46,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,71.6,327.7,101.332,5.53,37.05,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,683,38,02.12.2021,11:16,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,71.6,327.7,127.778,4.387,36.85,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,683,37,03.12.2021,10:31,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,71.6,327.7,76.852,2.604,37.45,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,683,37,03.12.2021,11:01,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,71.6,327.7,59.979,2.708,37.2,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,685,40,02.12.2021,10:46,home pen,13.52,pre,positive,anticipation_reward,physical,yes,112,81.9,327.7,121.104,2.576,36.5,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,685,40,02.12.2021,11:16,home pen,13.52,post,positive,anticipation_reward,physical,yes,112,81.9,327.7,85.823,2.854,38.25,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_8,685,39,03.12.2021,10:31,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,113,81.9,327.7,52.998,2.109,36.3,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
