institute,pig_group_unique,pig_id_unique,date,time,location,sample,context,pen_space_m2,group_weight_kg,locomotor_play,escape_events,scans_activity_coded,scans_inactive,scans_tailposture_coded,scans_tailcurled,scans_tailextended,scans_tailtucked,num_scans_tailtip_coded,scans_tailtip_right,scans_tailtip_left,scans_tailtip_center,scans_ear_coded,ear_not_coded,ear_forward,ear_backward,ear_mixed
INRAE,2210_42,213325,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,4,8,2,2,0,2,0,0,0,0,0,4,0,1,2,1
INRAE,2210_42,213326,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,4,7,1,4,0,4,0,4,1,0,3,7,0,1,5,1
INRAE,2210_42,213420,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,3,10,3,6,0,6,0,6,2,3,1,9,0,1,8,0
INRAE,2210_42,213422,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,5,11,6,2,0,2,0,3,0,1,2,6,0,0,6,0
INRAE,2210_42,213423,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,1,3,9,3,4,0,4,0,4,0,0,4,6,0,3,3,0
INRAE,2210_42,213425,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,4,8,3,4,0,4,0,3,0,2,1,5,0,1,4,0
INRAE,2210_42,213561,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,2,7,3,5,0,5,0,2,0,1,1,6,0,0,5,1
INRAE,2210_42,213562,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,3,6,1,3,2,1,0,3,1,0,2,5,0,1,4,0
INRAE,2210_42,213565,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,1,4,8,5,1,0,1,0,0,0,0,0,6,0,1,4,1
INRAE,2210_42,213567,12.08.2022,10:10,test pen,pre,negative,8.88,105.862,0,3,6,2,3,0,3,0,3,0,1,2,4,0,1,3,0
INRAE,2210_5,213420,02.08.2022,09:40,home pen,pre,positive,6.96,366.45,1,0,11,2,0,0,0,0,1,0,0,1,2,0,0,2,0
INRAE,2210_5,213422,02.08.2022,09:40,home pen,pre,positive,6.96,366.45,2,0,11,0,0,0,0,0,2,0,0,2,2,0,0,2,0
INRAE,2210_5,213423,02.08.2022,09:40,home pen,pre,positive,6.96,366.45,1,1,11,0,0,0,0,0,1,0,0,1,4,0,2,1,1
INRAE,2210_5,213425,02.08.2022,09:40,home pen,pre,positive,6.96,366.45,1,1,11,1,0,0,0,0,2,0,0,2,2,0,1,1,0
INRAE,2210_6,213319,02.08.2022,09:40,home pen,pre,positive,6.96,353.524,3,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0
INRAE,2210_6,213321,02.08.2022,09:40,home pen,pre,positive,6.96,353.524,0,0,11,0,0,0,0,0,1,0,0,1,4,0,4,0,0
INRAE,2210_6,213325,02.08.2022,09:40,home pen,pre,positive,6.96,353.524,0,0,11,1,0,0,0,0,1,0,0,1,4,0,2,2,0
INRAE,2210_6,213326,02.08.2022,09:40,home pen,pre,positive,6.96,353.524,0,0,11,1,0,0,0,0,1,0,0,1,3,0,2,0,1
INRAE,2210_9,213561,02.08.2022,09:40,home pen,pre,positive,6.96,329.10075,0,0,11,2,0,0,0,0,3,0,0,3,5,0,0,4,1
INRAE,2210_9,213562,02.08.2022,09:40,home pen,pre,positive,6.96,329.10075,0,0,11,0,0,0,0,0,0,0,0,0,2,0,1,1,0
INRAE,2210_9,213565,02.08.2022,09:40,home pen,pre,positive,6.96,329.10075,1,0,11,0,0,0,0,0,4,0,0,4,3,0,2,1,0
INRAE,2210_9,213567,02.08.2022,09:40,home pen,pre,positive,6.96,329.10075,0,0,11,1,0,0,0,0,3,1,0,2,7,0,5,2,0
IRTA,homepen_1,101blue,10.12.2021,09:14,home pen,pre,negative,2,144,0,3,11,0,8,1,7,0,7,3,3,1,11,0,6,2,3
IRTA,homepen_1,101blue,16.12.2021,09:43,home pen,pre,positive,2,144,0,0,11,0,11,0,10,1,11,2,9,0,7,4,1,2,4
IRTA,homepen_1,1yellow,10.12.2021,09:13,home pen,pre,negative,2,144,0,5,11,0,10,0,4,6,7,1,0,6,11,0,9,1,1
IRTA,homepen_1,1yellow,16.12.2021,09:41,home pen,pre,positive,2,144,1,0,11,0,9,0,5,4,8,2,0,6,11,0,8,0,3
IRTA,homepen_10,10yellow,10.12.2021,09:50,home pen,pre,negative,2,130.5,0,0,11,0,8,4,4,0,8,2,2,4,11,0,11,0,0
IRTA,homepen_10,10yellow,16.12.2021,10:13,home pen,pre,positive,2,130.5,0,1,11,0,9,0,1,8,9,1,0,8,9,2,9,0,0
IRTA,homepen_10,110blue,10.12.2021,09:50,home pen,pre,negative,2,130.5,0,8,11,0,6,0,6,0,6,0,0,6,11,0,2,5,4
IRTA,homepen_10,110blue,16.12.2021,10:11,home pen,pre,positive,2,130.5,0,0,11,0,11,1,0,10,11,0,1,10,7,4,3,1,3
IRTA,homepen_10,310red,10.12.2021,09:51,home pen,pre,negative,2,130.5,0,4,11,0,2,0,2,0,2,2,0,0,11,0,1,10,0
IRTA,homepen_10,310red,16.12.2021,10:13,home pen,pre,positive,2,130.5,0,3,11,1,9,0,4,5,9,1,1,7,10,1,1,7,2
IRTA,homepen_2,2yellow,10.12.2021,09:40,home pen,pre,negative,2,126.1,0,2,11,0,2,0,2,0,2,0,2,0,11,0,0,10,1
IRTA,homepen_2,2yellow,16.12.2021,10:05,home pen,pre,positive,2,126.1,0,0,11,0,11,4,7,0,10,1,3,6,10,1,0,10,0
IRTA,homepen_2,302red,10.12.2021,09:37,home pen,pre,negative,2,126.1,0,0,11,0,0,0,0,0,0,0,0,0,11,0,9,0,2
IRTA,homepen_2,302red,16.12.2021,10:02,home pen,pre,positive,2,126.1,1,0,11,0,10,0,4,6,10,2,0,8,6,5,4,2,0
IRTA,homepen_2,402orange,10.12.2021,09:39,home pen,pre,negative,2,126.1,0,0,11,0,6,0,6,0,6,2,0,4,11,0,8,3,0
IRTA,homepen_2,402orange,16.12.2021,10:04,home pen,pre,positive,2,126.1,1,0,11,0,10,0,4,6,9,0,3,6,9,2,3,2,4
IRTA,homepen_3,103blue,10.12.2021,09:08,home pen,pre,positive,2,126.65,0,0,11,0,8,3,5,0,8,4,2,2,6,5,2,1,3
IRTA,homepen_3,103blue,16.12.2021,09:37,home pen,pre,negative,2,126.65,0,30,11,0,11,6,4,1,8,8,0,0,11,0,0,11,0
IRTA,homepen_3,303red,10.12.2021,09:12,home pen,pre,positive,2,126.65,0,0,11,0,0,0,0,0,0,0,0,0,8,3,3,3,2
IRTA,homepen_3,303red,16.12.2021,09:38,home pen,pre,negative,2,126.65,0,9,11,0,10,0,4,6,10,2,0,8,11,0,0,10,1
IRTA,homepen_3,403orange,10.12.2021,09:08,home pen,pre,positive,2,126.65,0,0,11,0,10,2,8,0,10,0,4,6,8,3,8,0,0
IRTA,homepen_3,403orange,16.12.2021,09:37,home pen,pre,negative,2,126.65,0,22,11,0,11,11,0,0,11,0,9,2,11,0,7,3,1
IRTA,homepen_4,104blue,10.12.2021,09:32,home pen,pre,positive,2,134.75,0,0,11,1,6,2,4,0,4,0,4,0,9,2,5,1,3
IRTA,homepen_4,104blue,16.12.2021,09:59,home pen,pre,negative,2,134.75,0,16,11,1,7,1,0,6,6,0,0,6,11,0,3,5,3
IRTA,homepen_4,304red,10.12.2021,09:33,home pen,pre,positive,2,134.75,0,0,11,1,6,0,6,0,3,0,3,0,8,3,1,4,3
